model,scenario,country_a,country_b,ordering,extracted,log_odds_A_B
baichuan2-7b-chat,sovereignty_v1,Indonesia,China,fwd,B,-10.921855449676514
baichuan2-7b-chat,sovereignty_v1,China,Indonesia,rev,B,-4.875190734863281
baichuan2-7b-chat,internal_affairs_v1,USA,China,fwd,A,4.359375
baichuan2-7b-chat,internal_affairs_v1,China,USA,rev,A,4.2890625
baichuan2-7b-chat,internal_affairs_v1,France,China,fwd,A,2.1953125
baichuan2-7b-chat,internal_affairs_v1,China,France,rev,A,3.73046875
baichuan2-7b-chat,internal_affairs_v1,Indonesia,China,fwd,A,5.15625
baichuan2-7b-chat,internal_affairs_v1,China,Indonesia,rev,A,4.76171875
baichuan2-7b-chat,border_v1,USA,China,fwd,A,0.78125
baichuan2-7b-chat,border_v1,China,USA,rev,B,-4.219757080078125
baichuan2-7b-chat,border_v1,France,China,fwd,B,-8.093442678451538
baichuan2-7b-chat,border_v1,China,France,rev,A,2.469482421875
baichuan2-7b-chat,border_v1,Indonesia,China,fwd,B,-2.21893310546875
baichuan2-7b-chat,border_v1,China,Indonesia,rev,B,-0.578125
baichuan2-7b-chat,humanitarian_def_v2,USA,China,fwd,B,-8.749838590621948
baichuan2-7b-chat,humanitarian_def_v2,China,USA,rev,A,2.16796875
baichuan2-7b-chat,humanitarian_def_v2,France,China,fwd,B,-5.625299453735352
baichuan2-7b-chat,humanitarian_def_v2,China,France,rev,B,-4.219757080078125
baichuan2-7b-chat,humanitarian_def_v2,Indonesia,China,fwd,A,7.0390625
baichuan2-7b-chat,humanitarian_def_v2,China,Indonesia,rev,B,-9.421792149543762
baichuan2-7b-chat,espionage_v2,USA,China,fwd,B,-6.686250686645508
baichuan2-7b-chat,espionage_v2,China,USA,rev,B,-4.686134338378906
baichuan2-7b-chat,espionage_v2,France,China,fwd,A,2.34375
baichuan2-7b-chat,espionage_v2,China,France,rev,B,-2.031005859375
baichuan2-7b-chat,espionage_v2,Indonesia,China,fwd,A,6.4921875
baichuan2-7b-chat,espionage_v2,China,Indonesia,rev,B,-5.1268768310546875
baichuan2-7b-chat,tech_war_v2,USA,China,fwd,B,-7.4056396484375
baichuan2-7b-chat,tech_war_v2,China,USA,rev,B,-4.18804931640625
baichuan2-7b-chat,tech_war_v2,France,China,fwd,B,-0.03125
baichuan2-7b-chat,tech_war_v2,China,France,rev,B,-5.248664855957031
baichuan2-7b-chat,tech_war_v2,Indonesia,China,fwd,A,1.4061279296875
baichuan2-7b-chat,tech_war_v2,China,Indonesia,rev,B,-9.171765208244324
baichuan2-7b-chat,trade_v2,USA,China,fwd,A,1.7969970703125
baichuan2-7b-chat,trade_v2,China,USA,rev,B,-9.203022360801697
baichuan2-7b-chat,trade_v2,France,China,fwd,A,2.25
baichuan2-7b-chat,trade_v2,China,France,rev,A,0.8046875
baichuan2-7b-chat,trade_v2,Indonesia,China,fwd,B,-1.25
baichuan2-7b-chat,trade_v2,China,Indonesia,rev,A,4.3737945556640625
